기준 일자,정류소 명,정류소 번호,정류소아이디,권역,엑스좌표,위도,와이좌표,경도
2021-07-23,자유로JC(경유),63062,218000062,코드정보 없음,182278.682,126.8000548,457668.7327,37.62119105
2021-07-23,자유시장,56007,211000007,코드정보 없음,180448.8474,126.7797281,442698.2137,37.4862719
2021-07-23,자이금호힐스테이트,42849,168000849,서구,168206.0899,126.6407668,455077.4751,37.59746496
2021-07-23,자이금호힐스테이트,42850,168000850,서구,168228.7014,126.6410243,455044.3287,37.59716711
2021-07-23,자이더테라스1단지,89298,168001298,서구,166728.0429,126.6244113,446691.6455,37.52185881
2021-07-23,자이더테라스1단지,89297,168001297,서구,166755.9875,126.624727,446700.7438,37.5219418
2021-07-23,자이더테라스2단지,42871,168000871,서구,166753.2946,126.6246863,446925.634,37.5239679
2021-07-23,자이더테라스2단지,42864,168000864,서구,166709.3336,126.6241883,446941.064,37.52410534
2021-07-23,자이아파트,56116,211000116,코드정보 없음,178467.1636,126.7573277,442495.0082,37.48439685
2021-07-23,자이하버뷰,38498,164000498,연수구,168366.7187,126.643556,432543.3909,37.39444253
2021-07-23,자이하버뷰,38465,164000465,연수구,168389.6749,126.6438162,432520.9513,37.39424113
2021-07-23,자이하버뷰,38488,164000488,연수구,168429.3859,126.644258,432675.257,37.39563278
2021-07-23,자이하버뷰1단지,38455,164000455,연수구,168226.1613,126.6419667,432590.6216,37.39486326
2021-07-23,작은구월사거리,39240,165000240,남동구,175012.2087,126.718401,438483.2534,37.44816403
2021-07-23,작은구월사거리,39239,165000239,남동구,175039.3043,126.7187082,438453.4166,37.44789594
2021-07-23,작전1동주민센터,41113,167000113,계양구,176151.5362,126.7309794,447630.7284,37.53061204
2021-07-23,작전2동,41411,167000411,계양구,175293.1362,126.7212574,447943.7514,37.53340968
2021-07-23,작전2동,41421,167000421,계양구,175197.7614,126.7201783,447945.1472,37.53341969
2021-07-23,작전뉴서울2차,41155,167000155,계양구,176306.3581,126.7327038,448471.1542,37.53818814
2021-07-23,작전동 홈플러스,41046,167000046,계양구,175481.1797,126.7233982,447547.0488,37.52984049
2021-07-23,작전동삼성홈플러스,41050,167000050,계양구,175380.6957,126.7222701,447286.7817,37.52749284
2021-07-23,작전동삼성홈플러스,41044,167000044,계양구,175410.3821,126.722609,447195.6786,37.52667281
2021-07-23,작전동풍림아파트,41090,167000090,계양구,176376.6828,126.7335368,447311.0802,37.52773787
2021-07-23,작전서운동행정복지센터,41104,167000104,계양구,176638.0209,126.7364927,447331.1456,37.52792532
2021-07-23,작전서운동행정복지센터,41103,167000103,계양구,176641.4864,126.7365324,447316.9686,37.52779768
2021-07-23,작전역,41082,167000082,계양구,175410.8863,126.7225925,447858.0479,37.53264066
2021-07-23,작전역,41561,167000561,계양구,175221.3844,126.7204574,447595.5234,37.53027028
2021-07-23,작전역,41079,167000079,계양구,175456.6929,126.7231091,447906.1997,37.53307572
2021-07-23,작전역,41081,167000081,계양구,175494.0322,126.7235313,447914.2288,37.53314906
2021-07-23,작전역,41073,167000073,계양구,175335.032,126.7217334,447886.3534,37.53289366
2021-07-23,작전역,41562,167000562,계양구,175490.047,126.7234952,447646.3259,37.53073519
2021-07-23,작전역1번출구,41095,167000095,계양구,175429.3615,126.7228053,447746.0681,37.53163223
2021-07-23,작전역2번출구,41092,167000092,계양구,175451.9367,126.7230635,447661.3219,37.53086929
2021-07-23,작전역3번출구,41076,167000076,계양구,175492.0729,126.7235214,447549.0974,37.52985923
2021-07-23,작전역4번출구,41062,167000062,계양구,175424.7149,126.722761,447498.8995,37.52940516
2021-07-23,작전역5번출구,41057,167000057,계양구,175387.472,126.7223424,447417.6011,37.52867168
2021-07-23,작전역6번출구,41433,167000433,계양구,175329.2628,126.7216792,447556.0146,37.52991721
2021-07-23,작전역7번출구,41401,167000401,계양구,175223.809,126.7204835,447636.9888,37.53064394
2021-07-23,작전역8번출구,41093,167000093,계양구,175389.4858,126.7223549,447724.7646,37.53143923
2021-07-23,작전역사거리,41544,167000544,계양구,175389.056,126.7223451,447870.101,37.53274867
2021-07-23,작전역사거리,41545,167000545,계양구,175557.3379,126.7242491,447868.822,37.53274163
2021-07-23,작전중고.여고앞,41116,167000116,계양구,175888.2949,126.7279968,447765.7319,37.53182154
2021-07-23,작전초등학교,41127,167000127,계양구,175893.812,126.7280516,447998.4084,37.53391806
2021-07-23,작전초등학교,41128,167000128,계양구,175875.9778,126.7278493,448013.2713,37.53405151
2021-07-23,작전풍림아파트,41080,167000080,계양구,176372.0924,126.7334873,447235.8134,37.52705961
2021-07-23,작전풍림아파트,41091,167000091,계양구,176345.2352,126.7331809,447316.7444,37.52778809
2021-07-23,작전현대1차,41396,167000396,계양구,176304.1795,126.732694,448011.5391,37.53404703
2021-07-23,잔다리삼거리,35519,161000519,중구,159092.36,126.5381274,445080.94,37.50703954
2021-07-23,잔다리삼거리,35559,161000559,중구,159096.9503,126.5381791,445085.5974,37.50708171
2021-07-23,잔대동,44043,170000043,옹진군,,0,,0
2021-07-23,잔솔밭,43943,169000943,강화군,145338.839,126.3801482,477588.8971,37.79919842
2021-07-23,잔솔밭,43944,169000944,강화군,145390.8924,126.3807394,477586.351,37.7991786
2021-07-23,잠실롯데월드,33003,123000003,코드정보 없음,208681.4273,127.0989857,445895.7546,37.51524965
2021-07-23,잠실역,33011,123000011,코드정보 없음,208574.9728,127.0977819,445917.7689,37.51544898
2021-07-23,잠실역(1번.11번출구),33042,123000042,코드정보 없음,209044.1983,127.1030876,445770.0403,37.51411351
2021-07-23,잠실종합운동장,33013,123000013,코드정보 없음,206382.07,127.072976,445742.8566,37.51389064
2021-07-23,잠실종합운동장,33001,123000001,코드정보 없음,206406.1059,127.0732473,445670.8582,37.51324177
2021-07-23,잠실파크리오아파트,33005,123000005,코드정보 없음,209636.1896,127.1097949,446642.6482,37.52196971
2021-07-23,잠실파크리오아파트,33009,123000009,코드정보 없음,209589.22,127.1092638,446660.3422,37.52212962
2021-07-23,잠진도,35266,161000266,중구,148235.37,126.4160275,435316.698,37.41852243
2021-07-23,잠진도,35250,161000250,중구,148165.2989,126.4152119,435660.0349,37.42161184
2021-07-23,잠진도삼거리,35744,161000744,중구,148205.2078,126.4156747,435489.6516,37.42007899
2021-07-23,잠진도삼거리,35743,161000743,중구,148211.3048,126.4157441,435481.6725,37.42000744
2021-07-23,잠진도선착장,35711,161000711,중구,148225.2067,126.4159126,435318.0807,37.41853432
2021-07-23,잠진도입구,35750,161000750,중구,148596.395,126.4200776,435719.6406,37.42217292
2021-07-23,잠진도입구,35749,161000749,중구,148596.1898,126.4200746,435730.3109,37.42226905
2021-07-23,장경리공영주차장,44190,170000190,옹진군,,0,,0
2021-07-23,장경리공영주차장,44141,170000141,옹진군,,0,,0
2021-07-23,장경리해수욕장,44092,170000092,옹진군,,0,,0
2021-07-23,장경리해수욕장,44191,170000191,옹진군,,0,,0
2021-07-23,장곡,80067,232000067,코드정보 없음,177538.6649,126.7464019,456441.6842,37.61003181
2021-07-23,장곡,80251,232000251,코드정보 없음,177881.5156,126.7502866,456383.1945,37.60951316
2021-07-23,장곡,80267,232000267,코드정보 없음,177718.3015,126.748439,456352.9941,37.60923712
2021-07-23,장곡.고촌고등학교,80066,232000358,코드정보 없음,177793.6054,126.7493033,455976.6958,37.6058486
2021-07-23,장곡.고촌고등학교,80288,232000584,코드정보 없음,177471.6672,126.7456524,456139.2642,37.60730545
2021-07-23,장곡초등학교.숲속마을아파트,70078,224000078,코드정보 없음,180658.0975,126.7823969,431172.0668,37.38242547
2021-07-23,장골,35563,161000563,중구,157342.9792,126.5182638,446439.9179,37.51920418
2021-07-23,장골,35562,161000562,중구,157297.6545,126.5177525,446414.9112,37.51897678
