신우편번호,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,경도,위도,업종구분
21394.0,11875971,댄디비,,D,소매,D05,의복의류,D05A01,일반의류,G47416,셔츠 및 기타 의복 소매업,126.723241083598,37.4912230924847,소매업
21336.0,11821510,다나컴퓨터,,F,생활서비스,F03,개인/가정용품수리,F03A07,컴퓨터수리,S95121,컴퓨터 및 사무용 기기 수리업,126.729366561359,37.5114451945289,서비스업
21377.0,11834994,보그,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.709900880828,37.5008993808269,서비스업
21344.0,11959410,로뎀헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.733532098036,37.5072460839623,서비스업
21402.0,11956530,야미숯주먹고기,,Q,음식,Q01,한식,Q01A99,기타고기요리,I56111,한식 음식점업,126.741713382415,37.4928629507254,외식업
21313.0,11961329,착한한식부페,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.703949103787,37.5089254553987,외식업
21369.0,11839739,뜨게방,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.702867067257,37.5073998512302,서비스업
21358.0,11870984,스웨이하우스,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.725263809711,37.5019491852398,외식업
21382.0,11946633,그림있는엣카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.704987764006,37.4933220248586,외식업
21373.0,11943957,그린싸이클,,F,생활서비스,F14,자동차/이륜차,F14A02,자전거판매/수리,,,126.703300700966,37.4914834380233,서비스업
21363.0,11850568,썸즈업,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.714346239815,37.5054710151566,외식업
21308.0,11852415,청사초롱,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.701039692275,37.5103801882543,외식업
21311.0,11817589,원제할인마트,,D,소매,D03,종합소매점,D03A04,생활용품판매,G47190,그외 기타 종합 소매업,126.704723700646,37.5190795118516,소매업
21389.0,11945819,레드노래클럽,,Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,I56211,일반유흥 주점업,126.721556645359,37.4931871438334,외식업
21357.0,11892215,신선쭈꾸미,,Q,음식,Q03,일식/수산물,Q03A13,낙지/오징어,I56111,한식 음식점업,126.722603891716,37.5027403866651,외식업
21404.0,11868326,렌즈미안경원,,D,소매,D18,사진/광학/정밀기기소매,D18A04,안경원,G47822,안경 소매업,126.723337286585,37.4895572235053,소매업
21303.0,11838879,중고폰,,D,소매,D18,사진/광학/정밀기기소매,D18A02,핸드폰소매,G47312,통신기기 소매업,126.70172423023,37.5178752431511,소매업
21404.0,11875785,탑슈즈,부평2호점,D,소매,D03,종합소매점,D03A06,종합소매,G47190,그외 기타 종합 소매업,126.724463833718,37.4904704247112,소매업
21376.0,11828997,한사랑세탁소,,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,가정용 세탁업,126.70820749169,37.5033496919169,서비스업
21404.0,11893283,고은선물,,D,소매,D02,선물/팬시/기념품,D02A01,선물용품판매,G47842,관광 민예품 및 선물용품 소매업,126.723337286585,37.4895572235053,소매업
21391.0,11855404,영아상회,,D,소매,D06,가방/신발/액세서리,D06A07,양품점,G47419,"기타 섬유, 직물 및 의복액세서리 소매업",126.726174524255,37.4962735063277,소매업
21389.0,11875383,드레스코드,,D,소매,D05,의복의류,D05A12,예복/웨딩드레스,G47413,남녀용 정장 소매업,126.722951624223,37.4902919010401,소매업
21389.0,11870891,더상상호텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,126.721537930125,37.4922949203725,서비스업
21336.0,11831375,대영상회,,D,소매,D01,음/식료품소매,D01A01,식료품점,G47219,기타 식료품 소매업,126.730664324847,37.5109545725585,소매업
21369.0,11838206,SK스마트부평점,부평점,D,소매,D05,의복의류,D05A16,교복판매,G47416,셔츠 및 기타 의복 소매업,126.702305549542,37.5045554464997,소매업
21348.0,11852183,한별기획,,D,소매,D17,예술품/골동품/수석/분재,D17A01,예술품/골동품소매,G47841,예술품 및 골동품 소매업,126.739491456608,37.5032822241707,소매업
21311.0,11870395,신의주찹쌀대,,Q,음식,Q01,한식,Q01A05,해장국/감자탕,I56111,한식 음식점업,126.704881146973,37.5204417874429,외식업
21391.0,11856189,영남상회,,D,소매,D06,가방/신발/액세서리,D06A07,양품점,G47419,"기타 섬유, 직물 및 의복액세서리 소매업",126.725688317001,37.4969350251719,소매업
