BAS_ID,open_7cluster,open_8cluster,open_9cluster,open_10cluster,open_11cluster,open_12cluster,open_13cluster,open_14cluster,open_15cluster,open_16cluster,open_17cluster,open_18cluster,open_19cluster,open_20cluster,open_21cluster,open_22cluster,open_23cluster,open_24cluster,open_25cluster,open_26cluster,open_27cluster,open_28cluster,open_29cluster,open_30cluster,close_7cluster,close_8cluster,close_9cluster,close_10cluster,close_11cluster,close_12cluster,close_13cluster,close_14cluster,close_15cluster,close_16cluster,close_17cluster,close_18cluster,close_19cluster,close_20cluster,close_21cluster,close_22cluster,close_23cluster,close_24cluster,close_25cluster,close_26cluster,close_27cluster,close_28cluster,close_29cluster,close_30cluster
21430,1,1,1,0,7,3,3,3,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17,17,0.0,2.0,0.0,9.0,9.0,9.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,0.0,11.0,11.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,3.0
21431,1,1,1,0,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,1,1,0,0.0,2.0,0.0,9.0,9.0,9.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,0.0,11.0,11.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,3.0
21432,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,0.0,7.0,7.0,7.0,3.0,1.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,5.0,5.0
21433,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,3.0,3.0,3.0,3.0,1.0,0.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0
21434,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,3.0,3.0,3.0,3.0,1.0,0.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0
21435,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,3.0,3.0,3.0,3.0,1.0,0.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0
21436,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,3.0,3.0,3.0,3.0,1.0,0.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0
21437,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21438,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,3.0,3.0,3.0,3.0,1.0,0.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0
21439,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,3.0,3.0,3.0,3.0,1.0,0.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0
21440,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,3.0,3.0,3.0,3.0,1.0,0.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0
21441,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21442,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21443,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21444,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,8,8,8,8,8,3,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21445,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21446,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21447,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21448,3,3,8,3,1,0,12,12,12,12,12,12,12,12,12,12,5,2,2,2,0,27,27,27,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21449,3,3,8,3,1,0,12,12,12,12,12,12,12,12,12,12,5,2,2,2,0,27,27,27,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21450,3,3,8,3,1,0,12,12,12,12,12,12,12,12,12,12,5,2,2,2,0,22,22,22,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21451,3,3,8,3,1,0,12,12,12,12,12,12,12,12,12,12,5,2,2,2,0,22,22,22,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21452,3,3,8,3,1,0,11,11,11,11,11,11,5,5,5,5,2,0,24,24,24,24,24,24,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21453,3,3,8,3,1,0,12,12,12,12,12,12,12,12,12,12,5,2,2,2,0,22,22,22,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21454,3,3,8,3,1,0,12,12,12,12,12,12,12,12,12,12,5,2,2,2,0,22,22,22,3.0,3.0,3.0,3.0,1.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
21455,3,3,8,3,1,0,12,12,12,12,12,12,12,12,12,12,5,2,2,2,0,27,27,27,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
21456,1,1,1,0,7,3,3,3,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17,17,0.0,2.0,0.0,9.0,9.0,9.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,0.0,11.0,11.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,29.0
21457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,12,5,5,5,2,2,0,18,1.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,1.0,0.0,14.0,14.0,14.0,14.0,14.0
21458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,12,5,5,5,2,2,0,29,0.0,2.0,0.0,9.0,9.0,9.0,4.0,4.0,1.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
21459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,12,5,5,5,2,2,0,29,,,,,,,,,,,,,,,,,,,,,,,,
